PALABRA;OFFSET3.1;OFFSET3.0;IDPICTO
hipnotizar;00020664-v;spa-30-00020671-v;25157
hipo;14382864-n;spa-30-14359459-n;22127
hipopótamo;02401173-n;spa-30-02398521-n;2424
hocico;02455268-n;spa-30-02452637-n;7772
hockey;00464604-n;spa-30-00463543-n;27106
hockey;00469063-n;spa-30-00467995-n;27105
hoguera;07318203-n;spa-30-07303585-n;4664
hoguera;07317953-n;spa-30-07303335-n;4664
hoja;13173519-n;spa-30-13152742-n;5076
hoja;06266354-n;spa-30-06255777-n;8349
hola;06645018-n;spa-30-06632511-n;6009
hombre;10306910-n;spa-30-10287213-n;4665
hombre;02474924-n;spa-30-02472293-n;4665
hombro;05556473-n;spa-30-05548840-n;2977
homosexual;01204965-a;spa-30-01201422-a;11554
homosexual;10202544-n;spa-30-10182913-n;11554
homosexualidad;00858476-n;spa-30-00856847-n;11554
honor;04876319-n;spa-30-04869106-n;14660
hora;15252642-n;spa-30-15227846-n;7129
hora;15154879-n;spa-30-15129927-n;29175
horario;06508490-n;spa-30-06496499-n;6012
horca;03956635-n;spa-30-03950359-n;25159
horizontal;13850894-n;spa-30-13828681-n;9891
horizontal;01235508-a;spa-30-01232635-a;9891
horizonte;08603184-n;spa-30-08585657-n;20393
hormiga;02222138-n;spa-30-02219486-n;2425
hormigonera;03091491-n;spa-30-03087069-n;2682
hornear;01667644-v;spa-30-01663749-v;5487
hornear;00320687-v;spa-30-00319886-v;5487
horno;03868196-n;spa-30-03862676-n;2426
horno;03622304-n;spa-30-03617095-n;30985
horquilla;03481436-n;spa-30-03476313-n;2975
hortaliza;07723196-n;spa-30-07707451-n;7130
hospital;08071169-n;spa-30-08054417-n;3116
hospital;03545775-n;spa-30-03540595-n;3116
hospital;08070828-n;spa-30-08054076-n;3116
hospital;03047259-n;spa-30-03043274-n;3116
hostia;07702798-n;spa-30-07687053-n;24105
hotel;03547513-n;spa-30-03542333-n;9895
hoy;15287732-n;spa-30-15262921-n;7131
hoy;15180961-n;spa-30-15156001-n;7131
hoz;04220420-n;spa-30-04213353-n;2973
hucha;04146942-n;spa-30-04139859-n;4666
hucha;03941611-n;spa-30-03935335-n;4666
huelga;01246221-n;spa-30-01243674-n;19561
huella;06657802-n;spa-30-06645039-n;6526
huella;04702328-n;spa-30-04694980-n;8604
huevo;07856780-n;spa-30-07840804-n;2427
huevo;01463098-n;spa-30-01460457-n;2427
humo;13578096-n;spa-30-13556893-n;6529
hundimiento;07378483-n;spa-30-07363883-n;26244
huracán;11487417-n;spa-30-11467018-n;8606
hámster;02345537-n;spa-30-02342885-n;3346
hígado;05392877-n;spa-30-05385534-n;2980
hígado;07667661-n;spa-30-07652052-n;26569
húmero;05600936-n;spa-30-05593181-n;24109
iceberg;09331478-n;spa-30-09308572-n;6014
iglesia;03031762-n;spa-30-03028079-n;30903
iglú;03565610-n;spa-30-03560430-n;8137
igual;00893124-a;spa-30-00889831-a;4667
igual;01413922-a;spa-30-01411065-a;4667
iguana;01680007-n;spa-30-01677366-n;26134
ilegal;01404858-a;spa-30-01401854-a;16100
iluminar;00292635-v;spa-30-00291873-v;6015
imperdible;04134350-n;spa-30-04127249-n;2971
impermeable;04056517-n;spa-30-04049405-n;8122
importante;02168847-a;spa-30-02161432-a;11471
importante;01278672-a;spa-30-01275562-a;11471
importar;02351132-v;spa-30-02346136-v;21927
impresora;04010851-n;spa-30-04004475-n;2970
impresora;04011143-n;spa-30-04004767-n;26138
impulsar;02560630-v;spa-30-02554922-v;15467
impulso;00105069-n;spa-30-00104249-n;16355
imán;03710918-n;spa-30-03705379-n;8138
imán;10218870-n;spa-30-10199251-n;24113
inaugurar;02430184-v;spa-30-02425337-v;6016
incendio;07317454-n;spa-30-07302836-n;4668
incienso;14943145-n;spa-30-14918994-n;21937
incinerar;00379825-v;spa-30-00379154-v;26008
inclinar;02066560-v;spa-30-02062632-v;9003
inclinar;02042202-v;spa-30-02038357-v;9003
inclinar;01125332-v;spa-30-01122906-v;9005
incluir;02454712-v;spa-30-02449847-v;11702
inclusión;13959337-n;spa-30-13936304-n;22785
incomprensible;00536071-a;spa-30-00533851-a;7180
incomprensión;05814239-n;spa-30-05806231-n;15333
incubar;00059956-v;spa-30-00060185-v;24117
independencia;14017633-n;spa-30-13994148-n;11484
independencia;14024516-n;spa-30-14001031-n;11484
independiente;00731008-a;spa-30-00727564-a;30251
indicar;00925764-v;spa-30-00923793-v;6612
indio;02939379-a;spa-30-02928066-a;5489
industria;08082070-n;spa-30-08065234-n;8581
industria;00925258-n;spa-30-00923444-n;24507
infancia;15172057-n;spa-30-15147097-n;20401
infancia;15170546-n;spa-30-15145586-n;20401
infancia;14450469-n;spa-30-14427065-n;20401
infarto;14136337-n;spa-30-14112855-n;5490
infeliz;01152997-a;spa-30-01149494-a;2606
infierno;05637164-n;spa-30-05629381-n;26142
infierno;05637465-n;spa-30-05629682-n;26142
información;05824413-n;spa-30-05816287-n;9899
informático;10500853-n;spa-30-10481268-n;2969
informático;09970396-n;spa-30-09950917-n;2969
ingeniera;09638837-n;spa-30-09615807-n;11285
ingeniero;09638837-n;spa-30-09615807-n;28349
inhalador;03576431-n;spa-30-03571280-n;6017
inhalar;00005041-v;spa-30-00005041-v;29092
iniciar;00346415-v;spa-30-00345761-v;5431
iniciar;02614382-v;spa-30-02608347-v;5431
inicio;07339790-n;spa-30-07325190-n;5431
inmersión;07378715-n;spa-30-07364115-n;8046
inmigrante;10219108-n;spa-30-10199489-n;25644
inmueble;02916498-n;spa-30-02913152-n;5989
inocente;09644529-n;spa-30-09621359-n;26909
inodoro;04453655-n;spa-30-04446521-n;2430
inscribir;02476750-v;spa-30-02471327-v;9901
inscribirse;02476750-v;spa-30-02471327-v;9901
inscripción;00050857-n;spa-30-00050037-n;9901
insecticida;14944099-n;spa-30-14919948-n;8607
insecto;02162607-n;spa-30-02159955-n;7134
insectos;02162607-n;spa-30-02159955-n;7134
inspector;10087775-n;spa-30-10067968-n;24121
inspirar;00005041-v;spa-30-00005041-v;6602
instante;15271664-n;spa-30-15246853-n;22633
instante;15271164-n;spa-30-15246353-n;22633
instituto;08293641-n;spa-30-08276720-n;32446
instituto;08301402-n;spa-30-08284481-n;15515
instituto;08426574-n;spa-30-08409617-n;15515
instruir;00830768-v;spa-30-00829107-v;26809
insultar;00850100-v;spa-30-00848420-v;8139
integración;01204905-n;spa-30-01202415-n;22787
integrar;00467564-v;spa-30-00466651-v;11702
integrar;02454712-v;spa-30-02449847-v;11702
intentar;02535833-v;spa-30-02530167-v;26144
intercambiar;02262178-v;spa-30-02257370-v;8053
intermitente;07277372-n;spa-30-07262704-n;6018
internado;08428658-n;spa-30-08411701-n;25728
internet;03585784-n;spa-30-03580615-n;5492
interpretar;01718067-v;spa-30-01714208-v;4554
interruptor;03618801-n;spa-30-03613592-n;2431
interruptor;04379457-n;spa-30-04372370-n;2431
intervención;00672594-n;spa-30-00671351-n;27925
intestino;05541966-n;spa-30-05534333-n;2967
intimidad;04630289-n;spa-30-04622932-n;25702
intérprete;10232171-n;spa-30-10212501-n;24619
inundación;11475008-n;spa-30-11454591-n;4669
inundación;01260222-n;spa-30-01257542-n;4669
inundación;00330645-n;spa-30-00329819-n;4669
inventar;01635953-v;spa-30-01632411-v;6019
invernadero;03462844-n;spa-30-03457902-n;7135
invertebrado;01908302-n;spa-30-01905661-n;8141
invertebrado;02520331-a;spa-30-02510273-a;8141
investigación;00638164-n;spa-30-00636921-n;32138
investigación;05805605-n;spa-30-05797597-n;32138
investigación;05808619-n;spa-30-05800611-n;15322
investigar;00787624-v;spa-30-00785962-v;15320
invidente;02166241-a;spa-30-02158826-a;4600
invierno;15262579-n;spa-30-15237782-n;5493
invitar;02389828-v;spa-30-02384686-v;11287
invitar;01065717-v;spa-30-01063695-v;11287
inyectar;00086072-v;spa-30-00086320-v;5601
inyectar;01201851-v;spa-30-01199213-v;24125
ir;01908923-v;spa-30-01904930-v;4670
ir;01839438-v;spa-30-01835496-v;32500
iris;05327486-n;spa-30-05319936-n;9103
iris;09426302-n;spa-30-09403427-n;2986
isla;09339360-n;spa-30-09316454-n;2966
isla;09342362-n;spa-30-09319456-n;2966
islam;06244979-n;spa-30-06234825-n;22793
islam;08112613-n;spa-30-08095647-n;22793
islote;09342362-n;spa-30-09319456-n;2966
istmo;09342510-n;spa-30-09319604-n;24131
itinerario;08633886-n;spa-30-08616311-n;11393
itinerario;05914300-n;spa-30-05905706-n;11393
izar;01458383-v;spa-30-01455754-v;28489
izquierda;02040360-a;spa-30-02032953-a;9203
izquierda;05573181-n;spa-30-05565548-n;4672
izquierda;08643037-n;spa-30-08625462-n;9203
jabalí;02399079-n;spa-30-02396427-n;2965
jabón;04260547-n;spa-30-04253437-n;2964
jamás;00021214-r;spa-30-00020759-r;5527
jamón;07685636-n;spa-30-07669891-n;2963
jarabe;07875559-n;spa-30-07859583-n;2962
jardinero;10140190-n;spa-30-10120533-n;6533
jardinero;10140328-n;spa-30-10120671-n;6533
jardín;03422255-n;spa-30-03417345-n;2434
jardín;03422659-n;spa-30-03417749-n;2434
jarrón;04529463-n;spa-30-04522168-n;28541
jaula;02940098-n;spa-30-02936714-n;5494
jauría;08011383-n;spa-30-07994941-n;10245
jeringuilla;04383963-n;spa-30-04376876-n;2960
jeroglífico;06373848-n;spa-30-06362441-n;8145
jersey;04377135-n;spa-30-04370048-n;2436
jet;03601053-n;spa-30-03595860-n;9205
jibia;01975182-n;spa-30-01972541-n;28465
jilguero;01533819-n;spa-30-01531178-n;27853
jinete;10205412-n;spa-30-10185793-n;3169
jirafa;02441664-n;spa-30-02439033-n;2437
joven;01651383-a;spa-30-01646941-a;26146
joya;03602662-n;spa-30-03597469-n;29088
joyas;03602662-n;spa-30-03597469-n;29088
joyero;10241626-n;spa-30-10221956-n;2958
joyero;10241447-n;spa-30-10221777-n;2958
joystick;03608096-n;spa-30-03602883-n;6201
jubilación;13977336-n;spa-30-13954118-n;14666
jubilar;02384895-v;spa-30-02379753-v;11704
jubilarse;02384895-v;spa-30-02379753-v;11704
judaísmo;06243034-n;spa-30-06232880-n;22795
judaísmo;08110979-n;spa-30-08094013-n;22795
judo;00827434-n;spa-30-00825773-n;21943
judía;07740688-n;spa-30-07724943-n;8337
juego;00456623-n;spa-30-00455599-n;25179
juego;00431591-n;spa-30-00430606-n;10368
jueves;15189401-n;spa-30-15164354-n;6536
juez;10244889-n;spa-30-10225219-n;11291
juez;10300642-n;spa-30-10280945-n;11291
jueza;10244889-n;spa-30-10225219-n;2957
jugador;10459618-n;spa-30-10439851-n;6021
jugar;01075360-v;spa-30-01072949-v;29151
jugar;02423786-v;spa-30-02418686-v;2439
juguete;03971038-n;spa-30-03964744-n;9813
juguetear;01887709-v;spa-30-01883716-v;2439
juguetería;04469475-n;spa-30-04462240-n;11385
juguetes;03971038-n;spa-30-03964744-n;9813
juicio;01198357-n;spa-30-01195867-n;8148
jukebox;03609369-n;spa-30-03604156-n;9177
julio;15236963-n;spa-30-15212167-n;6538
junio;15236602-n;spa-30-15211806-n;6539
juntar;01660471-v;spa-30-01656788-v;26817
jurado;08431076-n;spa-30-08414119-n;26885
jurado;10247948-n;spa-30-10228278-n;26885
jurar;00891468-v;spa-30-00889947-v;28353
justicia;04857348-n;spa-30-04850117-n;8612
justicia;00695934-n;spa-30-00694681-n;8612
juventud;15172673-n;spa-30-15147713-n;20387
juventud;07960326-n;spa-30-07944050-n;20387
juventud;14449257-n;spa-30-14425853-n;20387
juzgado;08346380-n;spa-30-08329453-n;8147
juzgar;02506927-v;spa-30-02501278-v;8148
júpiter;09345360-n;spa-30-09322454-n;10293
karate;00828058-n;spa-30-00826397-n;21955
ketchup;07838173-n;spa-30-07822197-n;6540
kilogramo;13746692-n;spa-30-13724582-n;7138
kilómetro;13681796-n;spa-30-13659760-n;29076
kiosco;03828196-n;spa-30-03822656-n;2956
kipá;04619383-n;spa-30-04612026-n;24139
kiwi;07779605-n;spa-30-07763629-n;2955
koala;01885355-n;spa-30-01882714-n;2954
laberinto;03738772-n;spa-30-03733281-n;29626
laboratorio;03635277-n;spa-30-03629986-n;8150
labrar;01745745-v;spa-30-01741864-v;26152
labriego;10099179-n;spa-30-10079399-n;2982
laca;03482114-n;spa-30-03476991-n;2952
ladrar;01049617-v;spa-30-01047745-v;7139
ladrillo;02901103-n;spa-30-02897820-n;2951
ladrón;10727453-n;spa-30-10707804-n;4674
lagartija;01677105-n;spa-30-01674464-n;2950
lagarto;01677105-n;spa-30-01674464-n;2949
lago;09351810-n;spa-30-09328904-n;6022
lana;15128784-n;spa-30-15104217-n;2948
lanceta;03642932-n;spa-30-03637618-n;24146
lancha;03795763-n;spa-30-03790230-n;3277
lancha;03204585-n;spa-30-03199901-n;3277
langosta;01985291-n;spa-30-01982650-n;2947
lanza;04278001-n;spa-30-04270891-n;7773
lanzamiento;00105359-n;spa-30-00104539-n;28611
lanzar;01511000-v;spa-30-01508368-v;6542
largo;01436368-a;spa-30-01433493-a;4675
larva;02313712-n;spa-30-02311060-n;26164
lasaña;07886143-n;spa-30-07870167-n;9051
lata;02950393-n;spa-30-02946921-n;6544
laurel;07832272-n;spa-30-07816296-n;8614
lavabo;04561206-n;spa-30-04553920-n;15919
lavabo;04560989-n;spa-30-04553703-n;15919
lavadora;04561970-n;spa-30-04554684-n;2442
lavandera;10788856-n;spa-30-10769188-n;7140
lavandería;03653380-n;spa-30-03648066-n;15736
lavar;01535377-v;spa-30-01532589-v;9006
lavar;01538034-v;spa-30-01535246-v;5496
lavar;00036355-v;spa-30-00036362-v;2443
lavar;00558763-v;spa-30-00557686-v;9006
lavavajillas;03212662-n;spa-30-03207941-n;2444
lazo;02883550-n;spa-30-02880308-n;2946
leche;07860018-n;spa-30-07844042-n;2445
lechuga;12006775-n;spa-30-11986306-n;2446
lechuga;07739304-n;spa-30-07723559-n;2446
lechuza;01623768-n;spa-30-01621127-n;2945
lechuza;01628203-n;spa-30-01625562-n;2945
lectura;05816802-n;spa-30-05808794-n;2447
leer;00626756-v;spa-30-00625119-v;2447
leer;00628065-v;spa-30-00626428-v;7141
legal;02764868-a;spa-30-02754096-a;11473
legal;02764969-a;spa-30-02754197-a;11473
legumbre;07724543-n;spa-30-07708798-n;24805
legumbre;11768471-n;spa-30-11748002-n;24805
lejía;14803364-n;spa-30-14779205-n;2997
lencería;03678776-n;spa-30-03673450-n;29899
lengua;05308571-n;spa-30-05301072-n;2944
lenguado;07807250-n;spa-30-07791274-n;25666
lenguaje;06293304-n;spa-30-06282651-n;10259
lento;00983718-a;spa-30-00980527-a;4676
leona;02132115-n;spa-30-02129463-n;9065
leopardo;02131037-n;spa-30-02128385-n;2942
leotardos;04442066-n;spa-30-04434932-n;3278
lesbiana;10274662-n;spa-30-10254965-n;11556
lesbianismo;10274662-n;spa-30-10254965-n;11556
lesbianismo;00859053-n;spa-30-00857424-n;11556
levadura;15130838-n;spa-30-15106271-n;9052
levadura;13046407-n;spa-30-13025647-n;9052
levantar;01978076-v;spa-30-01974062-v;4677
levantar;01371262-v;spa-30-01368597-v;4677
ley;08458195-n;spa-30-08441203-n;11473
ley;06544321-n;spa-30-06532330-n;11473
leñador;10809717-n;spa-30-10790077-n;2943
león;02131817-n;spa-30-02129165-n;2449
liberación;00096322-n;spa-30-00095502-n;11488
liberar;02426474-v;spa-30-02421374-v;11474
liberar;02427126-v;spa-30-02422026-v;11474
libertad;14015308-n;spa-30-13991823-n;11488
libre;01065188-a;spa-30-01061489-a;11474
libre;01069383-a;spa-30-01065694-a;11474
librero;09885879-n;spa-30-09866473-n;16795
librería;02874886-n;spa-30-02871525-n;2941
librería;02874800-n;spa-30-02871439-n;3279
libro;06422547-n;spa-30-06410904-n;2450
libélula;02271095-n;spa-30-02268443-n;9066
licencia;01141515-n;spa-30-01139194-n;27865
licuadora;02853991-n;spa-30-02850732-n;17175
liebre;02329084-n;spa-30-02326432-n;17265
liendre;01463787-n;spa-30-01461146-n;4720
ligamento;05302880-n;spa-30-05295381-n;24149
ligamento;03670269-n;spa-30-03664943-n;24149
ligero;01189951-a;spa-30-01186408-a;4679
lija;14874050-n;spa-30-14849880-n;5498
lijadora;03255291-n;spa-30-03250588-n;5499
lijar;01389087-v;spa-30-01386433-v;5500
lima;03341784-n;spa-30-03336839-n;5501
lima;07765707-n;spa-30-07749731-n;15453
limar;01389676-v;spa-30-01387022-v;10169
limonada;07942490-n;spa-30-07926250-n;6551
limonero;12732356-n;spa-30-12711596-n;3122
limpiador;09946547-n;spa-30-09927089-n;15744
limpiador;03044572-n;spa-30-03040587-n;4871
limpiaparabrisas;04598049-n;spa-30-04590746-n;10331
limpiar;00035769-v;spa-30-00035758-v;10170
limpiar;01535377-v;spa-30-01532589-v;29746
limpiar;01535222-v;spa-30-01532434-v;3351
limpiar;00180982-v;spa-30-00180837-v;8726
limpiarse;00035769-v;spa-30-00035758-v;29834
limpieza;00251880-n;spa-30-00251013-n;22791
limpio;00418932-a;spa-30-00417413-a;4680
limón;07765558-n;spa-30-07749582-n;3022
lince;02129704-n;spa-30-02127052-n;21964
lindo;00219320-a;spa-30-00217728-a;11194
linterna;03363983-n;spa-30-03359137-n;6138
liso;02244586-a;spa-30-02236842-a;4685
liso;01034481-a;spa-30-01030826-a;25195
lista;06492991-n;spa-30-06481320-n;30207
listar;00948787-v;spa-30-00946755-v;30207
listo;01849304-a;spa-30-01843380-a;32820
listo;01936911-a;spa-30-01930512-a;17004
litera;02923643-n;spa-30-02920259-n;2939
litro;13645547-n;spa-30-13624190-n;7145
llama;02440247-n;spa-30-02437616-n;9067
llamador;03632051-n;spa-30-03626760-n;25321
llamar;00915018-v;spa-30-00913065-v;4686
llamar;00791110-v;spa-30-00789448-v;29167
llamar;01417121-v;spa-30-01414467-v;4687
llamar;00793966-v;spa-30-00792304-v;10171
llano;09416498-n;spa-30-09393605-n;20395
llanta;04099417-n;spa-30-04092305-n;19535
llanura;09416498-n;spa-30-09393605-n;20395
llanura;08637099-n;spa-30-08619524-n;20395
llave;04613932-n;spa-30-04606574-n;2938
llave;03618503-n;spa-30-03613294-n;8153
llavero;03620246-n;spa-30-03615037-n;28537
llegar;02009962-v;spa-30-02005948-v;11708
llegar;01853188-v;spa-30-01849221-v;11708
llegar;02024442-v;spa-30-02020590-v;16805
llenar;02655144-v;spa-30-02649042-v;7146
llenar;00453467-v;spa-30-00452512-v;7146
lleno;01086845-a;spa-30-01083157-a;4688
llevar;01452567-v;spa-30-01449974-v;11466
llevar;01435234-v;spa-30-01432601-v;32288
llevar;02081903-v;spa-30-02077656-v;6139
llorar;00065962-v;spa-30-00066191-v;3239
llover;02762516-v;spa-30-02756558-v;7148
lluvia;11521799-n;spa-30-11501381-n;3123
lobo;02116752-n;spa-30-02114100-n;5892
logopeda;10653862-n;spa-30-10634464-n;2454
logopedia;00708466-n;spa-30-00707213-n;6142
lombriz;01938036-n;spa-30-01935395-n;2935
lomo;07674287-n;spa-30-07658678-n;26178
longitud;05136466-n;spa-30-05129201-n;9833
loro;01819528-n;spa-30-01816887-n;2934
lotería;00509102-n;spa-30-00508091-n;4621
loto;11737868-n;spa-30-11717399-n;8585
lubina;07793921-n;spa-30-07777945-n;25667
luchar;01092746-v;spa-30-01090335-v;9007
luchar;01507331-v;spa-30-01504699-v;9007
luciérnaga;02170897-n;spa-30-02168245-n;25203
luego;00118527-r;spa-30-00117620-r;13080
luego;00061741-r;spa-30-00061203-r;13080
lugar;08639173-n;spa-30-08621598-n;9819
lugar;08530790-n;spa-30-08513718-n;32598
lugar;05619605-n;spa-30-05611822-n;9819
lugar;00722683-n;spa-30-00721431-n;9819
luna;09381255-n;spa-30-09358358-n;2933
lunares;03984658-n;spa-30-03978300-n;7776
lunes;15189026-n;spa-30-15163979-n;6554
lupa;03490014-n;spa-30-03484931-n;9927
luto;14012765-n;spa-30-13989280-n;26180
luz;03670692-n;spa-30-03665366-n;8376
luz;05025269-n;spa-30-05018103-n;8619
luz;14006789-n;spa-30-13983304-n;8619
luz;06887069-n;spa-30-06874019-n;8376
lágrima;05412667-n;spa-30-05405324-n;14252
lámpara;03641539-n;spa-30-03636248-n;4936
lámpara;03641940-n;spa-30-03636649-n;4936
lápida;03460432-n;spa-30-03455488-n;26158
lápiz;03914323-n;spa-30-03908204-n;2440
lápiz;14820918-n;spa-30-14796748-n;2440
línea;08610818-n;spa-30-08593262-n;4684
macarrones;07716709-n;spa-30-07700964-n;25572
macarrón;07716709-n;spa-30-07700964-n;8357
maceta;03997420-n;spa-30-03991062-n;3126
machacar;01495601-v;spa-30-01492944-v;17273
madera;15122728-n;spa-30-15098161-n;6143
madre;10352098-n;spa-30-10332385-n;31148
madre;10297825-n;spa-30-10278128-n;31148
madrid;09046837-n;spa-30-09024467-n;8622
madriguera;08608955-n;spa-30-08591399-n;7149
madurez;14448184-n;spa-30-14424780-n;20397
madurez;15177777-n;spa-30-15152817-n;20397
maestra;10713754-n;spa-30-10694258-n;2456
maestro;10713754-n;spa-30-10694258-n;2457
magdalena;07646632-n;spa-30-07631023-n;8623
magia;00100771-n;spa-30-00099951-n;10157
mago;10300371-n;spa-30-10280674-n;2932
mahonesa;07850483-n;spa-30-07834507-n;5509
majar;01495601-v;spa-30-01492944-v;17273
majestad;04737242-n;spa-30-04729984-n;5563
mal;01129296-a;spa-30-01125429-a;5504
malabarista;10246083-n;spa-30-10226413-n;10350
maleta;02776843-n;spa-30-02773838-n;2931
maletero;03701391-n;spa-30-03696065-n;10332
maletín;02903988-n;spa-30-02900705-n;7053
malo;01129296-a;spa-30-01125429-a;4690
maltratar;02522260-v;spa-30-02516594-v;24749
maltrato;00420921-n;spa-30-00419908-n;24713
maltrato;00419038-n;spa-30-00418025-n;20091
malva;12191102-n;spa-30-12170585-n;8157
malva;04977811-n;spa-30-04970544-n;9096
malvado;02523798-a;spa-30-02513740-a;4690
mamut;02507401-n;spa-30-02504770-n;29682
mamá;10352098-n;spa-30-10332385-n;2458
mamá;10297825-n;spa-30-10278128-n;2458
mamífero;01864419-n;spa-30-01861778-n;7777
mamíferos;01867348-n;spa-30-01864707-n;7777
mamíferos;01864419-n;spa-30-01861778-n;7777
mamíferos;01865198-n;spa-30-01862557-n;7777
manantial;09466357-n;spa-30-09443453-n;24154
mancha;04702524-n;spa-30-04695176-n;7151
manchado;00403065-a;spa-30-00402004-a;4750
mandar;01439891-v;spa-30-01437254-v;21828
mandar;00748704-v;spa-30-00746718-v;11251
mandarina;07763927-n;spa-30-07747951-n;11298
mandil;02733935-n;spa-30-02730930-n;2366
mando;04082075-n;spa-30-04074963-n;11299
manejar;01213301-v;spa-30-01210737-v;26186
manga;04243483-n;spa-30-04236377-n;25746
mango;03491080-n;spa-30-03485997-n;10256
mango;07780131-n;spa-30-07764155-n;16813
manguera;03545055-n;spa-30-03539875-n;2929
manifestación;01180193-n;spa-30-01177703-n;21976
manija;03491080-n;spa-30-03485997-n;5060
manilla;03491080-n;spa-30-03485997-n;5060
manillar;03492173-n;spa-30-03487090-n;6145
manivela;03131675-n;spa-30-03127024-n;26188
manopla;03780604-n;spa-30-03775071-n;25227
manta;02852392-n;spa-30-02849154-n;2459
manta;01502732-n;spa-30-01500091-n;6146
manteca;07864314-n;spa-30-07848338-n;2461
mantel;04387230-n;spa-30-04380143-n;2460
mantener;02687605-v;spa-30-02681795-v;17050
mantenimiento;00268366-n;spa-30-00267522-n;16051
mantequilla;07864314-n;spa-30-07848338-n;2461
mantis;02238696-n;spa-30-02236044-n;8624
manzana;07755101-n;spa-30-07739125-n;2462
manzano;12654399-n;spa-30-12633638-n;3203
mapa;03725654-n;spa-30-03720163-n;5505
mapache;02510652-n;spa-30-02508021-n;10239
maqueta;03782816-n;spa-30-03777283-n;26881
maquillaje;03719774-n;spa-30-03714235-n;8626
maquillar;00040659-v;spa-30-00040928-v;27875
mar;09449666-n;spa-30-09426788-n;2925
mar;09399110-n;spa-30-09376198-n;2925
maraca;03726382-n;spa-30-03720891-n;8315
maracuyá;07769719-n;spa-30-07753743-n;27776
marcador;04156878-n;spa-30-04149813-n;6147
marcapasos;03875968-n;spa-30-03870290-n;27877
marcar;00509113-v;spa-30-00508032-v;5506
marcar;00791970-v;spa-30-00790308-v;4691
marchitar;00242575-v;spa-30-00241689-v;7153
marciano;09512920-n;spa-30-09489790-n;7154
marco;03938003-n;spa-30-03931765-n;3281
marear;00533408-v;spa-30-00532328-v;2464
margarina;07688659-n;spa-30-07672914-n;26196
margarita;11959960-n;spa-30-11939491-n;3127
marido;10213586-n;spa-30-10193967-n;8111
marinero;09880801-n;spa-30-09861395-n;5507
marino;09880801-n;spa-30-09861395-n;5507
marioneta;04031744-n;spa-30-04025350-n;26897
mariposa;02276911-n;spa-30-02274259-n;2465
mariquita;02168108-n;spa-30-02165456-n;2924
marisco;07799186-n;spa-30-07783210-n;8627
marisco;07792842-n;spa-30-07776866-n;20101
martes;15189152-n;spa-30-15164105-n;6557
martillo;03486255-n;spa-30-03481172-n;30134
martillo;02969997-n;spa-30-02966545-n;2922
marzo;15235666-n;spa-30-15210870-n;6558
masaje;00660291-n;spa-30-00659048-n;9010
masajear;01235302-v;spa-30-01232738-v;32200
masajear;00064258-v;spa-30-00064487-v;9010
mascarilla;03730526-n;spa-30-03725035-n;9169
mascota;01321385-n;spa-30-01318894-n;25654
masculino;09647338-n;spa-30-09624168-n;8621
masculino;01486631-a;spa-30-01483324-a;8621
masculino;06340158-n;spa-30-06329165-n;8621
masculino;01489391-a;spa-30-01486084-a;8621
masturbación;00857303-n;spa-30-00855674-n;16673
matar;01326622-v;spa-30-01323958-v;8160
matemáticas;06009822-n;spa-30-06000644-n;10260
matrimonio;13987306-n;spa-30-13963970-n;8256
matrimonio;01039028-n;spa-30-01036996-n;8256
matrimonio;08005815-n;spa-30-07989373-n;8256
matrícula;03666506-n;spa-30-03661180-n;10333
maullar;00943751-v;spa-30-00941719-v;7156
mayo;15236280-n;spa-30-15211484-n;6559
mayonesa;07850483-n;spa-30-07834507-n;5509
mayor;01398335-a;spa-30-01395330-a;16119
mayordomo;09903961-n;spa-30-09884509-n;8162
mazapán;07623854-n;spa-30-07608245-n;13346
mazorca;08561700-n;spa-30-08544125-n;7150
maíz;12164193-n;spa-30-12143676-n;7150
maíz;07747928-n;spa-30-07731952-n;4879
mañana;15146567-n;spa-30-15121625-n;7152
mañana;15190336-n;spa-30-15165289-n;25704
mañana;15180851-n;spa-30-15155891-n;7152
mañana;15288606-n;spa-30-15263795-n;7152
mecedora;04107063-n;spa-30-04099969-n;24169
mecer;01879288-v;spa-30-01875295-v;6883
mechero;03671917-n;spa-30-03666591-n;4692
mecánico;09845152-n;spa-30-09825750-n;2921
medalla;06719615-n;spa-30-06706676-n;3128
media;04330957-n;spa-30-04323819-n;8358
medias;04442066-n;spa-30-04434932-n;2466
medicación;03745652-n;spa-30-03740161-n;30116
medicación;00665353-n;spa-30-00664110-n;30116
medicamento;03745652-n;spa-30-03740161-n;8359
medicamentos;03745652-n;spa-30-03740161-n;8163
medicar;00083983-v;spa-30-00084230-v;30116
medicina;03745652-n;spa-30-03740161-n;8359
medida;00998911-n;spa-30-00996969-n;9833
medida;00033914-n;spa-30-00033615-n;32586
medir;00648747-v;spa-30-00647094-v;5510
medusa;01913388-n;spa-30-01910747-n;2920
megáfono;03748770-n;spa-30-03743279-n;9179
mejilla;05610590-n;spa-30-05602835-n;2919
mejillón;01966212-n;spa-30-01963571-n;2918
mejor;00231927-a;spa-30-00230335-a;22627
mejor;09870573-n;spa-30-09851165-n;11470
mejorar;00205454-v;spa-30-00205046-v;11705
melocotonero;12668806-n;spa-30-12648045-n;3205
melocotón;07766980-n;spa-30-07751004-n;2468
melón;12184341-n;spa-30-12163824-n;2469
